DISTRITO,EDAD
JESUS MARIA,27
LINCE,8
JESUS MARIA,27
JESUS MARIA,38
LA VICTORIA,29
BREÑA,28
LINCE,27
JESUS MARIA,28
LINCE,57
JESUS MARIA,20
LA VICTORIA,34
JESUS MARIA,71
LA VICTORIA,13
JESUS MARIA,28
JESUS MARIA,38
LA VICTORIA,27
LA VICTORIA,28
JESUS MARIA,37
JESUS MARIA,18
LINCE,27
PUEBLO LIBRE,40
JESUS MARIA,27
PUEBLO LIBRE,29
JESUS MARIA,31
BREÑA,52
LA VICTORIA,39
LA VICTORIA,80
JESUS MARIA,35
LA VICTORIA,20
LA VICTORIA,25
JESUS MARIA,54
BREÑA,37
JESUS MARIA,9
BREÑA,17
JESUS MARIA,20
JESUS MARIA,27
JESUS MARIA,25
JESUS MARIA,21
JESUS MARIA,38
BREÑA,19
JESUS MARIA,34
LA VICTORIA,26
JESUS MARIA,46
LA VICTORIA,23
PUEBLO LIBRE,30
PUEBLO LIBRE,36
LA VICTORIA,32
PUEBLO LIBRE,73
JESUS MARIA,29
JESUS MARIA,22
JESUS MARIA,28
JESUS MARIA,29
LA VICTORIA,22
LA VICTORIA,25
JESUS MARIA,19
LINCE,24
JESUS MARIA,35
LA VICTORIA,32
LA VICTORIA,38
PUEBLO LIBRE,15
PUEBLO LIBRE,63
JESUS MARIA,20
JESUS MARIA,37
JESUS MARIA,21
JESUS MARIA,26
JESUS MARIA,50
LINCE,20
JESUS MARIA,22
JESUS MARIA,27
PUEBLO LIBRE,37
PUEBLO LIBRE,40
LA VICTORIA,24
JESUS MARIA,20
JESUS MARIA,21
LA VICTORIA,17
PUEBLO LIBRE,21
JESUS MARIA,22
LA VICTORIA,31
JESUS MARIA,57
LA VICTORIA,19
PUEBLO LIBRE,19
JESUS MARIA,24
PUEBLO LIBRE,25
LINCE,51
JESUS MARIA,23
JESUS MARIA,20
JESUS MARIA,28
JESUS MARIA,28
JESUS MARIA,35
JESUS MARIA,33
LINCE,22
LA VICTORIA,23
JESUS MARIA,47
JESUS MARIA,49
PUEBLO LIBRE,50
JESUS MARIA,24
JESUS MARIA,26
JESUS MARIA,20
JESUS MARIA,16
JESUS MARIA,13
JESUS MARIA,11
LA VICTORIA,27
PUEBLO LIBRE,23
LA VICTORIA,11
BREÑA,24
JESUS MARIA,60
LA VICTORIA,24
LINCE,19
LINCE,23
PUEBLO LIBRE,21
LA VICTORIA,24
JESUS MARIA,29
LINCE,21
JESUS MARIA,40
LINCE,37
PUEBLO LIBRE,40
LA VICTORIA,20
JESUS MARIA,16
LINCE,37
LA VICTORIA,10
JESUS MARIA,19
JESUS MARIA,26
LINCE,55
PUEBLO LIBRE,22
BREÑA,26
LA VICTORIA,34
JESUS MARIA,14
JESUS MARIA,20
LINCE,37
JESUS MARIA,39
JESUS MARIA,40
JESUS MARIA,9
JESUS MARIA,25
JESUS MARIA,45
LA VICTORIA,38
JESUS MARIA,5
JESUS MARIA,48
JESUS MARIA,37
JESUS MARIA,22
JESUS MARIA,16
JESUS MARIA,62
LA VICTORIA,25
JESUS MARIA,34
JESUS MARIA,56
LA VICTORIA,26
PUEBLO LIBRE,26
JESUS MARIA,37
LINCE,37
BREÑA,39
JESUS MARIA,20
JESUS MARIA,9
LA VICTORIA,34
JESUS MARIA,42
JESUS MARIA,38
PUEBLO LIBRE,55
PUEBLO LIBRE,40
BREÑA,33
JESUS MARIA,47
LA VICTORIA,45
JESUS MARIA,32
JESUS MARIA,55
JESUS MARIA,42
LA VICTORIA,43
PUEBLO LIBRE,58
JESUS MARIA,40
JESUS MARIA,42
PUEBLO LIBRE,32
LA VICTORIA,6
BREÑA,32
JESUS MARIA,79
JESUS MARIA,38
PUEBLO LIBRE,80
JESUS MARIA,33
JESUS MARIA,36
LINCE,37
LA VICTORIA,19
JESUS MARIA,16
LA VICTORIA,26
LINCE,44
JESUS MARIA,67
JESUS MARIA,34
JESUS MARIA,46
LA VICTORIA,27
JESUS MARIA,32
PUEBLO LIBRE,34
JESUS MARIA,30
LA VICTORIA,39
JESUS MARIA,32
JESUS MARIA,30
JESUS MARIA,35
JESUS MARIA,22
JESUS MARIA,51
BREÑA,21
JESUS MARIA,82
JESUS MARIA,12
LINCE,34
JESUS MARIA,47
JESUS MARIA,14
JESUS MARIA,40
BREÑA,23
PUEBLO LIBRE,33
JESUS MARIA,33
LA VICTORIA,41
JESUS MARIA,39
LINCE,40
BREÑA,41
JESUS MARIA,33
LINCE,34
BREÑA,40
JESUS MARIA,55
JESUS MARIA,19
JESUS MARIA,12
JESUS MARIA,25
LINCE,45
JESUS MARIA,34
BREÑA,32
JESUS MARIA,38
PUEBLO LIBRE,17
JESUS MARIA,34
LINCE,32
JESUS MARIA,33
BREÑA,11
JESUS MARIA,41
JESUS MARIA,32
LINCE,33
JESUS MARIA,32
JESUS MARIA,14
JESUS MARIA,26
JESUS MARIA,28
JESUS MARIA,34
JESUS MARIA,39
LA VICTORIA,25
LA VICTORIA,16
LINCE,11
JESUS MARIA,23
JESUS MARIA,35
LA VICTORIA,23
LINCE,36
JESUS MARIA,62
PUEBLO LIBRE,61
LINCE,49
LA VICTORIA,33
LA VICTORIA,38
JESUS MARIA,31
JESUS MARIA,48
JESUS MARIA,38
JESUS MARIA,62
LA VICTORIA,23
LA VICTORIA,33
LA VICTORIA,33
JESUS MARIA,17
LA VICTORIA,48
JESUS MARIA,50
LA VICTORIA,25
PUEBLO LIBRE,24
JESUS MARIA,54
LA VICTORIA,33
JESUS MARIA,48
BREÑA,1
BREÑA,19
JESUS MARIA,12
JESUS MARIA,5
PUEBLO LIBRE,34
JESUS MARIA,51
JESUS MARIA,32
PUEBLO LIBRE,44
JESUS MARIA,36
LA VICTORIA,31
JESUS MARIA,31
JESUS MARIA,38
LINCE,31
PUEBLO LIBRE,31
PUEBLO LIBRE,37
LINCE,31
JESUS MARIA,42
JESUS MARIA,38
JESUS MARIA,27
JESUS MARIA,54
PUEBLO LIBRE,34
BREÑA,10
LA VICTORIA,22
JESUS MARIA,36
LA VICTORIA,28
LINCE,32
JESUS MARIA,54
LA VICTORIA,41
JESUS MARIA,31
LA VICTORIA,56
JESUS MARIA,28
LINCE,39
LA VICTORIA,0
LINCE,20
JESUS MARIA,43
LINCE,20
JESUS MARIA,22
JESUS MARIA,38
JESUS MARIA,38
PUEBLO LIBRE,38
LINCE,68
PUEBLO LIBRE,42
JESUS MARIA,37
LA VICTORIA,34
JESUS MARIA,78
LA VICTORIA,35
JESUS MARIA,26
JESUS MARIA,28
JESUS MARIA,38
PUEBLO LIBRE,42
LINCE,26
BREÑA,47
LA VICTORIA,37
JESUS MARIA,32
JESUS MARIA,8
LA VICTORIA,33
LINCE,41
JESUS MARIA,33
LA VICTORIA,43
JESUS MARIA,35
LA VICTORIA,17
JESUS MARIA,37
JESUS MARIA,61
JESUS MARIA,18
JESUS MARIA,31
